uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1
138,Australia-Taiwan Business Council,Business association,1,1984,NSW,other service activities,business organization
792,Building Service Contractors Association of Australia Inc,Business association,0.5,1964,ACT,administrative and support service activities,business organization
946,Deer Industry Association of Australia,Business association,1,1996,VIC,agriculture forestry and fishing,business organization
1096,Grain Growers Association Ltd,Business association,,1958,NSW,agriculture forestry and fishing,business organization
1200,Italian Chamber of Commerce and Industry in Australia,Business association,3,1922,NSW,other service activities,business organization
738,Auto Parts Recyclers Association of Australia Inc,Business association,1,1982,SA,manufacturing,business organization
152,Australian Aluminium Council,Business association,3,,ACT,manufacturing,business organization
1551,Shorthorn Beef,Business association,2,1935,NSW,agriculture forestry and fishing,business organization
266,Australian Companies Institute,Business association,1.5,1991,NSW,other service activities,business organization
157,Australian Antique & Art Dealers Association,Business association,1,1992,VIC,arts entertainmnent and recreation,business organization
1676,"Vinyl Council of Australia, The",Business association,1,1998,VIC,manufacturing,business organization
908,Corporate Tax Association of Australia,Business association,3,1989,VIC,professional scientific and technical activities,business organization
405,Australian Industry & Defence Network Inc,Business association,5,1995,VIC,public administration and defence compulsory social security,business organization
161,Australian Association for Circus and Physical Theatre,Business association,0.5,1999,VIC,arts entertainmnent and recreation,business organization
1456,Private Treaty Wool Merchants of Australia Inc,Business association,0,,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
535,Australian Newsagents' Federation Ltd,Business association,18,1995,NSW,information and communication,business organization
679,Australian Tea Tree Industry Association,Business association,0.5,1982,NSW,agriculture forestry and fishing,business organization
603,Australian Retailers Association,Business association,15,1901,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
239,Australian Chicken Growers Council,Business association,1,1973,QLD,agriculture forestry and fishing,business organization
502,Australian Melon Association,Business association,1,,QLD,agriculture forestry and fishing,business organization
1455,Private Healthcare Australia,Business association,1.5,1971,ACT,human health and social work activities,business organization
627,Australian Ship Repairers Group,Business association,1,1971,QLD,transportation and storage,business organization
211,Australian Braford Society Inc,Business association,0.5,1962,QLD,agriculture forestry and fishing,business organization
1596,Strawberries Australia,Business association,2,1989,QLD,agriculture forestry and fishing,business organization
407,Australian Industry Group,Business association,267,1873,NSW,other service activities,business organization
991,Energy Supply Association of Australia Ltd,Business association,4,1991,VIC,electricity gas steam and air conditioning supply,business organization
1295,National Amusement Machine Operators Association Ltd,Business association,1,1961,NSW,arts entertainmnent and recreation,business organization
837,Chestnuts Australia,Business association,1,,VIC,agriculture forestry and fishing,business organization
1003,Export Council of Australia,Business association,7,1956,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1279,Mohair Australia Ltd,Business association,0,1983,NSW,agriculture forestry and fishing,business organization
554,Australian Payments Clearing Association Ltd,Business association,,1992,NSW,financial and insurance activities,business organization
577,Australian Prawn Farmers Association,Business association,1,1993,QLD,agriculture forestry and fishing,business organization
678,Australian Taxi Industry Association,Business association,1,,QLD,transportation and storage,business organization
1603,Surfing Australia Inc,Business association,12,1963,QLD,arts entertainmnent and recreation,business organization
953,Devon Cattle Breeders Society of Australia,Business association,0.5,,NSW,agriculture forestry and fishing,business organization
599,Australian Renderers' Association Inc,Business association,1,,NSW,manufacturing,business organization
628,Australian Shipbuilders Association,Business association,,1963,QLD,transportation and storage,business organization
1718,Zoo and Aquarium Association,Business association,5,,NSW,arts entertainmnent and recreation,business organization
1468,Protected Cropping Australia,Business association,0.5,1990,NSW,agriculture forestry and fishing,business organization
1261,Medical Technology Association of Australia,Business association,11,1980,NSW,manufacturing,business organization
105,Athletics Australia,Business association,24,1897,VIC,arts entertainmnent and recreation,business organization
200,Australian Baseball Federation,Business association,6,1934,QLD,arts entertainmnent and recreation,business organization
765,Blind Manufacturers Association of Australia,Business association,,1947,QLD,manufacturing,business organization
714,Australian Web Industry Association,Business association,1,2002,WA,information and communication,business organization
274,Australian Corriedale Association Inc,Business association,0,1914,VIC,agriculture forestry and fishing,business organization
631,Australian Simmental Breeders Association,Business association,2,1971,NSW,agriculture forestry and fishing,business organization
401,Australian Indigenous Communications Association,Business association,7,2003,ACT,information and communication,business organization
1251,Materials Australia,Business association,,1946,VIC,manufacturing,business organization
228,Australian Carwash Association,Business association,2,1995,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1325,National Council of Wool Selling Brokers of Australia Ltd,Business association,0.5,1919,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
581,Australian Private Hospitals Association Ltd,Business association,5,1981,ACT,human health and social work activities,business organization
131,Australia-Israel Chamber of Commerce,Business association,,1970,NSW,other service activities,business organization
311,Australian Die Casting Association,Business association,0.5,1982,VIC,manufacturing,business organization
800,Business Software Alliance,Business association,,,NSW,information and communication,business organization
92,Association of Mining Exploration Companies,Business association,9,1981,WA,mining and quarrying,business organization
1103,Gridiron Australia,Business association,,,ACT,arts entertainmnent and recreation,business organization
1347,National Interior Plantscape Association Inc,Business association,2,,QLD,administrative and support service activities,business organization
1205,Jersey Australia,Business association,3,1899,VIC,agriculture forestry and fishing,business organization
1090,Goat Industry Council of Australia,Business association,0,1986,QLD,agriculture forestry and fishing,business organization
364,Australian Garlic Industry Association,Business association,0,1986,NSW,agriculture forestry and fishing,business organization
1155,Independent Cinemas Association of Australia,Business association,1,1977,NSW,information and communication,business organization
1263,Meetings and Events Australia,Business association,13,1975,NSW,administrative and support service activities,business organization
189,Australian Automotive Aftermarket Association,Business association,7,1980,VIC,manufacturing,business organization
1625,Textile Institute Inc,Business association,,1960,VIC,manufacturing,business organization
530,Australian National Sportfishing Association,Business association,0,,NSW,arts entertainmnent and recreation,business organization
751,Beef Shorthorn Society of Australia,Business association,0,1913,VIC,agriculture forestry and fishing,business organization
314,Australian Drilling Industry Association,Business association,5,1982,WA,mining and quarrying,business organization
1206,Jewellers Association of Australia,Business association,4,1931,NSW,professional scientific and technical activities,business organization
134,Australia-Malaysia Business Council,Business association,0.5,1988,ACT,other service activities,business organization
542,Australian Olive Association Ltd,Business association,,1996,SA,agriculture forestry and fishing,business organization
1560,Snow & Outdoor Trade Association,Business association,0.5,1985,NSW,arts entertainmnent and recreation,business organization
1075,Gaming Technologies Association,Business association,1,1990,NSW,arts entertainmnent and recreation,business organization
878,Community Broadcasting Association of Australia,Business association,19,1974,NSW,information and communication,business organization
595,Australian Record Industry Association,Business association,6,,NSW,information and communication,business organization
922,Cricket Australia,Business association,,1905,VIC,arts entertainmnent and recreation,business organization
618,Australian Seed Federation Ltd,Business association,2,1965,ACT,agriculture forestry and fishing,business organization
1400,Organic Federation of Australia,Business association,1,1998,QLD,agriculture forestry and fishing,business organization
473,Australian Livestock and Rural Transporters' Association,Business association,3,1992,ACT,agriculture forestry and fishing,business organization
1406,Outdoor Power Equipment Association Inc,Business association,0,,VIC,electricity gas steam and air conditioning supply,business organization
58,Appita Inc,Business association,1,1947,VIC,manufacturing,business organization
1694,Wine Communicators of Australia,Business association,1,1978,NSW,manufacturing,business organization
310,Australian Diagnostic Imaging Association,Business association,2,1999,VIC,human health and social work activities,business organization
998,"Eros Association, The",Business association,4,1992,ACT,arts entertainmnent and recreation,business organization
455,Australian Karate Federation,Business association,1,1971,VIC,arts entertainmnent and recreation,business organization
804,Canadian Australian Chamber of Commerce,Business association,1,2005,NSW,other service activities,business organization
164,Australian Association for Maritime Affairs,Business association,0.5,1979,ACT,transportation and storage,business organization
708,Australian Volleyball Federation,Business association,8,1963,ACT,arts entertainmnent and recreation,business organization
1517,RPH Australia,Business association,,,NSW,human health and social work activities,business organization
1157,Information Systems Audit and Control Association,Business association,0.5,1976,NSW,information and communication,business organization
1463,Property Funds Association of Australia,Business association,1,1999,VIC,real estate activities,business organization
80,Association of Australian Convention Bureaux,Business association,1,1986,VIC,professional scientific and technical activities,business organization
207,Australian Blueberry Growers Association,Business association,0.5,1980,NSW,agriculture forestry and fishing,business organization
1705,WoolProducers Australia,Business association,1,1979,ACT,agriculture forestry and fishing,business organization
1054,Franchise Council of Australia Ltd,Business association,8,1983,VIC,administrative and support service activities,business organization
883,Community Newspapers of Australia,Business association,0,1968,VIC,information and communication,business organization
701,Australian Vending Association Inc,Business association,0,1967,NSW,manufacturing,business organization
1527,Science and Technology Australia,Business association,2,1986,ACT,professional scientific and technical activities,business organization
1424,Pet Industry Association of Australia,Business association,3,1979,NSW,other service activities,business organization
1549,Shipping Australia,Business association,7,2001,NSW,transportation and storage,business organization
694,Australian Trucking Association Ltd,Business association,15,1989,ACT,transportation and storage,business organization
1412,Packaging Council of Australia,Business association,3,1978,VIC,administrative and support service activities,business organization
1303,National Association of Food Equipment Suppliers Ltd,Business association,1,1990,NSW,accommodation and food service activities,business organization
886,Complementary Healthcare Council of Australia,Business association,,1976,ACT,human health and social work activities,business organization
726,Australian Wool Growers Association,Business association,0,,NSW,agriculture forestry and fishing,business organization
1423,Pet Food Industry Association of Australia,Business association,,1979,VIC,manufacturing,business organization
216,Australian British Chamber of Commerce,Business association,4,1910,NSW,other service activities,business organization
1355,National Rodeo Council of Australia Ltd,Business association,1,1992,NSW,arts entertainmnent and recreation,business organization
1648,Timber Trade Industrial Association,Business association,6,1940,NSW,agriculture forestry and fishing,business organization
928,Custom Electronic Design & Installation Association,Business association,4,1994,NSW,construction,business organization
1015,Federal Chamber of Automotive Industries,Business association,7,1939,ACT,manufacturing,business organization
598,Australian Registered Cattle Breeders Association,Business association,1,1975,NSW,agriculture forestry and fishing,business organization
1299,National Association for Sustainable Agriculture Australia,Business association,18,1986,SA,agriculture forestry and fishing,business organization
853,Circus Federation of Australia Inc,Business association,1,,QLD,arts entertainmnent and recreation,business organization
1269,Metal Roofing & Wall Cladding Association Inc,Business association,0,1971,NSW,construction,business organization
557,Australian Performing Arts Centre Association,Business association,1,,WA,arts entertainmnent and recreation,business organization
716,Australian White Suffolk Association,Business association,0,1985,SA,agriculture forestry and fishing,business organization
709,Australian Wagyu Association Ltd,Business association,1,1989,NSW,agriculture forestry and fishing,business organization
757,Bicycle Industries Australia Ltd,Business association,1,1983,VIC,transportation and storage,business organization
860,Clean Energy Council,Business association,21,2007,VIC,electricity gas steam and air conditioning supply,business organization
1369,National Tourism Alliance,Business association,1,,NSW,accommodation and food service activities,business organization
549,Australian Packaging and Processing Machinery Association,Business association,0.5,1983,NSW,manufacturing,business organization
90,Association of Market and Social Research Organisations,Business association,1,,NSW,professional scientific and technical activities,business organization
1196,Irrigation Australia Limited,Business association,5,1983,NSW,water supply sewerage wast management and remediation activities,business organization
824,Cement Concrete & Aggregates Australia,Business association,,1928,NSW,manufacturing,business organization
621,Australian Services Roundtable,Business association,1,,ACT,other service activities,business organization
52,Angus Australia,Business association,12,1919,NSW,agriculture forestry and fishing,business organization
673,Australian Sugar Milling Council,Business association,5,1987,QLD,manufacturing,business organization
564,Australian Pig Breeders Association Ltd,Business association,,1920,NSW,agriculture forestry and fishing,business organization
1287,Museums Australia Inc,Business association,2,1994,QLD,arts entertainmnent and recreation,business organization
1477,Rail Track Association Australia,Business association,0.5,1971,NSW,transportation and storage,business organization
1494,Resources RTO,Business association,1,,QLD,mining and quarrying,business organization
113,Austmine,Business association,10,,NSW,mining and quarrying,business organization
1644,The Window Coverings Association of Australia Inc,Business association,0,1983,VIC,construction,business organization
1317,National Bulk Tanker Association,Business association,1,,VIC,transportation and storage,business organization
1008,Family Business Australia,Business association,16,1999,VIC,other service activities,business organization
999,Essential Oil Producers Association of Australia,Business association,0.5,1994,NSW,agriculture forestry and fishing,business organization
676,Australian Table Grape Association,Business association,1,,VIC,agriculture forestry and fishing,business organization
378,Australian Greyhound Racing Association,Business association,0,,SA,arts entertainmnent and recreation,business organization
347,Australian Financial Markets Association,Business association,30,1972,NSW,financial and insurance activities,business organization
1216,Label and Tag Manufacturers Association of Australia,Business association,,,VIC,administrative and support service activities,business organization
1646,Timber and Building Materials Association Aust Ltd,Business association,10,1940,NSW,manufacturing,business organization
17,Aerial Agricultural Association of Australia,Business association,3,1958,ACT,agriculture forestry and fishing,business organization
670,Australian Steel Institute,Business association,13,1962,NSW,manufacturing,business organization
1230,Lighting Council Australia,Business association,5,2001,ACT,construction,business organization
969,Dried Fruits Australia,Business association,,1907,VIC,agriculture forestry and fishing,business organization
578,Australian Press Council,Business association,,1976,NSW,information and communication,business organization
1421,Passionfruit Australia Inc,Business association,1,,QLD,agriculture forestry and fishing,business organization
30,Air Conditioning and Mechanical Contractors' Association of Australia,Business association,7,1960,VIC,electricity gas steam and air conditioning supply,business organization
1313,National Baking Industry Association,Business association,12,,QLD,manufacturing,business organization
1073,Game Developers' Association of Australia,Business association,2,1999,VIC,arts entertainmnent and recreation,business organization
180,Australian Association of National Advertisers,Business association,1,1928,NSW,professional scientific and technical activities,business organization
1385,Nursery & Garden Industry Australia Ltd,Business association,4,1945,NSW,agriculture forestry and fishing,business organization
573,Australian Pork Ltd,Business association,38,,ACT,agriculture forestry and fishing,business organization
1493,Research Australia,Business association,6,2001,VIC,professional scientific and technical activities,business organization
669,Australian Stainless Steel Development Association,Business association,4,1992,QLD,manufacturing,business organization
404,Australian Industrial Truck Association,Business association,1,1963,ACT,manufacturing,business organization
371,Australian Glass & Glazing Association Inc,Business association,3,1992,VIC,manufacturing,business organization
902,Convenience and Mixed Business Association Inc,Business association,,1913,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
411,Australian Institute of Agricultural Science and Technology,Business association,1,1935,ACT,agriculture forestry and fishing,business organization
725,Australian Wood Panels Association,Business association,2,1975,QLD,manufacturing,business organization
1246,Martial Arts Industry Association,Business association,0.5,,NSW,arts entertainmnent and recreation,business organization
1405,Outdoor Media Association,Business association,7,1939,NSW,information and communication,business organization
108,Audit Bureau of Australia,Business association,7,1932,NSW,information and communication,business organization
1372,National Vending Association,Business association,0,,VIC,manufacturing,business organization
718,Australian Window Association,Business association,10,1991,NSW,construction,business organization
1337,National Footwear Retailers Association,Business association,1,1978,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1112,Hair and Beauty Australia,Business association,2,,NSW,other service activities,business organization
1645,Thoroughbred Breeders Australia,Business association,0,1921,NSW,arts entertainmnent and recreation,business organization
1047,Food and Beverage Importers Association Inc,Business association,,1983,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
907,Corporate Superannuation Association,Business association,2,1997,VIC,financial and insurance activities,business organization
1185,Insurance Council of Australia Ltd,Business association,27,1975,NSW,financial and insurance activities,business organization
607,Australian Road Transport Suppliers Association,Business association,1,1975,VIC,transportation and storage,business organization
629,Australian Shipowners Association,Business association,6,1986,VIC,transportation and storage,business organization
324,Australian Equipment Lessors Association,Business association,3,1986,NSW,financial and insurance activities,business organization
793,Bulky Goods Retailers Association,Business association,,2000,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
483,Australian Mango Industry Association Ltd,Business association,1,2000,QLD,agriculture forestry and fishing,business organization
825,Cement Industry Federation Ltd,Business association,3,1967,ACT,manufacturing,business organization
1374,NatRoad Ltd,Business association,7,1994,ACT,transportation and storage,business organization
1445,Ports Australia,Business association,3,,NSW,transportation and storage,business organization
1570,Space Industry Association of Australia,Business association,0,1993,NSW,transportation and storage,business organization
1233,lllawarra Cattle Society of Australia,Business association,,,NSW,agriculture forestry and fishing,business organization
1484,Refrigerants Australia,Business association,,,ACT,manufacturing,business organization
128,Australia-Brazil Chamber of Commerce Inc,Business association,0.5,1978,NSW,other service activities,business organization
704,Australian Video Rental Retailers Association,Business association,1,1991,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
760,Biofuels Association of Australia,Business association,,,QLD,manufacturing,business organization
522,Australian Nashi Growers Association,Business association,0,,VIC,agriculture forestry and fishing,business organization
832,Chartered Institute of Logistics & Transport,Business association,1,1935,QLD,transportation and storage,business organization
1029,Fertility Society of Australia,Business association,0,,VIC,human health and social work activities,business organization
408,Australian Information Industry Association,Business association,6,1978,ACT,information and communication,business organization
1117,Hazelnut Growers of Australia,Business association,0,,NSW,agriculture forestry and fishing,business organization
151,Australian Alpaca Association Ltd,Business association,2,1990,VIC,agriculture forestry and fishing,business organization
369,Australian German Association Inc,Business association,0,1974,VIC,other service activities,business organization
271,Australian Copyright Council,Business association,4,1968,NSW,professional scientific and technical activities,business organization
962,Distilled Spirits Industry Council of Australia Inc,Business association,4,1982,VIC,manufacturing,business organization
1285,Murray Grey Beef Cattle Society Ltd,Business association,1,1962,NSW,agriculture forestry and fishing,business organization
346,Australian Finance Conference,Business association,9,1958,NSW,financial and insurance activities,business organization
344,Australian Fencing Federation,Business association,3.5,1949,VIC,arts entertainmnent and recreation,business organization
1146,Ice Hockey Australia (Australian Ice Hockey Federation Inc),Business association,0.5,1908,SA,arts entertainmnent and recreation,business organization
1249,Master Grocers Australia/Liquor Retailers Australia,Business association,11,1898,VIC,accommodation and food service activities,business organization
1239,Magazine Publishers of Australia,Business association,1,,NSW,information and communication,business organization
472,Australian Livestock and Property Agents Association,Business association,5,1910,NSW,agriculture forestry and fishing,business organization
1056,Free Range Egg & Poultry Australia Ltd,Business association,0.5,1993,VIC,agriculture forestry and fishing,business organization
626,Australian Sheep Breeders Association Inc,Business association,1,1878,VIC,agriculture forestry and fishing,business organization
1569,South Devon Cattle Society of Australia Inc,Business association,0,1978,NSW,agriculture forestry and fishing,business organization
1525,Scarlet Alliance - Australian Sex Workers Association Inc,Business association,,1989,NSW,human health and social work activities,business organization
406,Australian Industry Greenhouse Network,Business association,2,1995,ACT,electricity gas steam and air conditioning supply,business organization
462,Australian Lavender Growers Association Inc,Business association,0,1994,VIC,agriculture forestry and fishing,business organization
904,Copper Development Centre Australia Ltd,Business association,,1985,NSW,manufacturing,business organization
1692,Wildlife Tourism Australia Inc,Business association,0,2003,QLD,arts entertainmnent and recreation,business organization
1350,National Pharmaceutical Services Association,Business association,2,,VIC,human health and social work activities,business organization
72,Ash Development Association of Australia,Business association,,1991,NSW,manufacturing,business organization
1250,Master Plumbers & Mechanical Services Association of Australia,Business association,20,1891,VIC,construction,business organization
1352,National Product Liability Association,Business association,0,1983,VIC,financial and insurance activities,business organization
672,Australian Subscription Television and Radio Association Inc,Business association,4,1997,NSW,information and communication,business organization
1684,Water Services Association of Australia,Business association,13,1995,VIC,water supply sewerage wast management and remediation activities,business organization
1113,Hairdressing and Beauty Industry Association,Business association,,1927,VIC,other service activities,business organization
153,"Australian Amusement, Leisure and Recreation Association Inc",Business association,1,1995,QLD,arts entertainmnent and recreation,business organization
1059,French Australian Chamber of Commerce and Industry,Business association,6,1899,NSW,other service activities,business organization
48,Amorphous Silica Association of Australia,Business association,1,2003,NSW,construction,business organization
1357,National Rugby League,Business association,,1998,NSW,arts entertainmnent and recreation,business organization
993,English Australia,Business association,3,1990,NSW,education,business organization
541,Australian Oilseeds Federation,Business association,,,NSW,agriculture forestry and fishing,business organization
930,Customs Brokers and Forwarders Council of Australia Inc,Business association,8,1904,QLD,transportation and storage,business organization
231,Australian Catalogue Association,Business association,2,1991,VIC,manufacturing,business organization
1482,Red Meat Advisory Council Ltd,Business association,1,1998,ACT,accommodation and food service activities,business organization
132,Australia-Japan Business Cooperation Committee,Business association,1,1962,ACT,other service activities,business organization
967,Dorper Sheep Society of Australia Inc,Business association,2,,NSW,agriculture forestry and fishing,business organization
222,Australian Cane Farmers Association,Business association,4,1907,QLD,agriculture forestry and fishing,business organization
129,Australia-Fiji Business Council,Business association,1,1986,QLD,other service activities,business organization
1399,Organic Agriculture Association Inc,Business association,0,,VIC,agriculture forestry and fishing,business organization
1009,Family Day Care Australia,Business association,20,1988,NSW,human health and social work activities,business organization
790,Brown Swiss Cattle Breeders of Australia Inc,Business association,0,1974,NSW,agriculture forestry and fishing,business organization
1681,Waste Management Association of Australia,Business association,10,1991,NSW,water supply sewerage wast management and remediation activities,business organization
606,Australian Road Train Association,Business association,,1989,NSW,transportation and storage,business organization
1462,Property Council of Australia,Business association,80,1969,NSW,real estate activities,business organization
1697,Wireless Institute of Australia,Business association,3,1910,VIC,information and communication,business organization
392,Australian Honey Bee Industry Council,Business association,,1998,NSW,agriculture forestry and fishing,business organization
1395,Onions Australia,Business association,1,,SA,agriculture forestry and fishing,business organization
1478,Raspberries and Blackberries Australia Inc,Business association,0.5,,VIC,agriculture forestry and fishing,business organization
366,Australian Gelbvieh Association Inc,Business association,1,1989,NSW,agriculture forestry and fishing,business organization
208,Australian Booksellers Association,Business association,4,1925,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1608,Swedish-Australian Chamber of Commerce,Business association,0.5,1911,NSW,other service activities,business organization
237,Australian Chamber of Commerce and Industry,Business association,,1992,ACT,other service activities,business organization
1132,Holstein-Friesian Association of Australia,Business association,20,1914,VIC,agriculture forestry and fishing,business organization
1447,Potato Processors Association of Australia,Business association,,1992,VIC,agriculture forestry and fishing,business organization
357,Australian Forest Products Association Ltd,Business association,10,1986,ACT,agriculture forestry and fishing,business organization
279,Australian Council for Private Education and Training,Business association,21,1992,VIC,education,business organization
558,Australian Petroleum Production & Exploration Association Ltd,Business association,33,1959,ACT,mining and quarrying,business organization
715,Australian Weightlifting Federation,Business association,1,,QLD,arts entertainmnent and recreation,business organization
1127,Hire and Rental Industry Association Ltd,Business association,3,1972,NSW,administrative and support service activities,business organization
836,Cherry Growers of Australia Inc,Business association,1,1970,TAS,agriculture forestry and fishing,business organization
330,Australian Federation Against Copyright Theft,Business association,,2004,NSW,information and communication,business organization
1496,Retirement Village Association Ltd,Business association,6,1982,VIC,human health and social work activities,business organization
1503,Roads Australia,Business association,8,1951,VIC,transportation and storage,business organization
735,AUSVEG,Business association,15,1994,VIC,agriculture forestry and fishing,business organization
1275,Minerals Council of Australia,Business association,,1967,ACT,mining and quarrying,business organization
393,Australian Horse Industry Council,Business association,0,,VIC,agriculture forestry and fishing,business organization
46,American Chamber of Commerce in Australia - National/Sydney Office,Business association,20,1961,NSW,other service activities,business organization
53,Animal Health Alliance,Business association,2,2006,ACT,professional scientific and technical activities,business organization
937,Damara Sheep Breeders Society of Australia,Business association,0,,SA,agriculture forestry and fishing,business organization
118,Australia China Business Council,Business association,,1973,NSW,other service activities,business organization
1097,Grain Producers Australia,Business association,,,ACT,agriculture forestry and fishing,business organization
1351,National Precast Concrete Association Australia,Business association,2,1990,SA,manufacturing,business organization
1306,National Association of Retail Grocers of Australia,Business association,0,,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
798,Business Council of Australia,Business association,18,1983,VIC,other service activities,business organization
1288,Music Council of Australia,Business association,5,1994,VIC,arts entertainmnent and recreation,business organization
1652,Tractor and Machinery Association of Australia,Business association,1,1953,VIC,manufacturing,business organization
1083,German Australian Chamber of Industry and Commerce,Business association,8,1977,NSW,other service activities,business organization
354,Australian Food and Grocery Council,Business association,,1995,ACT,accommodation and food service activities,business organization
934,Dairy Goat Society of Australia Ltd,Business association,0,1934,VIC,agriculture forestry and fishing,business organization
467,Australian Liquor Stores Association Inc,Business association,3,,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
989,Energy Networks Association,Business association,12,2004,ACT,electricity gas steam and air conditioning supply,business organization
1571,Spatial Industries Business Association,Business association,1,2001,ACT,construction,business organization
1282,Motion Picture Distributors' Association of Australia,Business association,2,1926,NSW,information and communication,business organization
477,Australian Lowline Cattle Association Inc,Business association,0.5,1993,QLD,agriculture forestry and fishing,business organization
1609,Swimming Australia Ltd,Business association,25,1909,ACT,arts entertainmnent and recreation,business organization
395,Australian Hotels Association National Office,Business association,4,1839,ACT,accommodation and food service activities,business organization
933,Dairy Australia,Business association,84,2003,VIC,manufacturing,business organization
1428,Phonographic Performance Company of Australia Ltd,Business association,8,,NSW,information and communication,business organization
910,Cotton Australia,Business association,10,1972,NSW,agriculture forestry and fishing,business organization
229,Australian Cashmere Growers Association Ltd,Business association,,1980,QLD,agriculture forestry and fishing,business organization
749,Basketball Australia,Business association,27,1981,NSW,arts entertainmnent and recreation,business organization
213,Australian Brangus Cattle Association Ltd,Business association,4,1971,NSW,agriculture forestry and fishing,business organization
299,Australian Dairy Products Federation,Business association,0.5,1978,VIC,manufacturing,business organization
1329,National Employment Services Association Limited,Business association,9,1997,VIC,administrative and support service activities,business organization
195,Australian Banana Growers Council,Business association,4,1961,QLD,agriculture forestry and fishing,business organization
540,Australian Nut Industry Council,Business association,1,,QLD,agriculture forestry and fishing,business organization
668,Australian Stabilisation Industry Association,Business association,,1995,NSW,construction,business organization
742,Ayrshire Australia Ltd,Business association,,,VIC,agriculture forestry and fishing,business organization
399,Australian Independent Record Labels Association Ltd,Business association,,1996,VIC,information and communication,business organization
1487,Regional Aviation Association of Australia,Business association,1,1980,ACT,transportation and storage,business organization
466,Australian Liquefied Petroleum Gas Association (t/a LPG Australia),Business association,5,1958,ACT,electricity gas steam and air conditioning supply,business organization
270,Australian Constructors Association,Business association,0.5,,NSW,construction,business organization
1334,National Farmers' Federation,Business association,13,1979,ACT,agriculture forestry and fishing,business organization
1651,"Tourism, Hospitality & Catering Institute of Australia",Business association,0,,NSW,accommodation and food service activities,business organization
365,Australian Gas Association,Business association,20,1962,VIC,electricity gas steam and air conditioning supply,business organization
1067,Furnishing Industry Association of Australia Ltd,Business association,8,1948,NSW,manufacturing,business organization
59,Apple and Pear Australia,Business association,7,2002,VIC,agriculture forestry and fishing,business organization
130,Australia-Hungary Chamber of Commerce & Industry,Business association,,1989,VIC,other service activities,business organization
896,Consult Australia,Business association,20,1952,NSW,construction,business organization
1475,Pulse Australia,Business association,5,,VIC,agriculture forestry and fishing,business organization
917,Council of Textile and Fashion Industries of Australia Ltd,Business association,7,1984,VIC,manufacturing,business organization
49,AMPLA Ltd,Business association,2,1976,VIC,professional scientific and technical activities,business organization
990,Energy Retailers Association of Australia,Business association,4,,NSW,electricity gas steam and air conditioning supply,business organization
1208,Jobs Australia Ltd,Business association,20,1989,VIC,administrative and support service activities,business organization
741,Avocados Australia,Business association,7,1974,QLD,agriculture forestry and fishing,business organization
1485,Refrigerated Warehouse and Transport Association of Australia Ltd,Business association,1,1928,VIC,transportation and storage,business organization
240,Australian Chicken Meat Federation Inc,Business association,4,1968,NSW,agriculture forestry and fishing,business organization
1602,Surface Coatings Association Australia,Business association,0.5,1946,VIC,manufacturing,business organization
1658,Turf Australia,Business association,,,QLD,agriculture forestry and fishing,business organization
248,Australian Coal Association,Business association,14,1970,ACT,mining and quarrying,business organization
18,Aerosol Association of Australia,Business association,1,1964,NSW,manufacturing,business organization
712,Australian Water Polo Inc,Business association,3,,WA,arts entertainmnent and recreation,business organization
238,Australian Chamber of Fruit and Vegetable Industries Ltd,Business association,,1940,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
249,Australian Collectors & Debt Buyers Association,Business association,0.5,2009,NSW,financial and insurance activities,business organization
1472,Publishers Australia,Business association,1,1964,NSW,information and communication,business organization
285,Australian Council of Super Investors,Business association,8,2001,VIC,financial and insurance activities,business organization
1300,National Association for the Visual Arts,Business association,6,1983,NSW,arts entertainmnent and recreation,business organization
1573,Specialised Textiles Association,Business association,1,1940,VIC,manufacturing,business organization
1,Abacus - Australian Mutuals,Business association,3,1992,NSW,financial and insurance activities,business organization
596,Australian Recreational and Sport Fishing Industry Confederation Inc,Business association,1,1983,VIC,arts entertainmnent and recreation,business organization
109,AusBiotech Ltd,Business association,3,2001,VIC,professional scientific and technical activities,business organization
893,Construction and Mining Equipment Industry Group Inc,Business association,2,2003,NSW,mining and quarrying,business organization
1453,Printing Industries Association of Australia,Business association,31,1924,NSW,information and communication,business organization
1632,The Communications Council,Business association,12,2008,NSW,professional scientific and technical activities,business organization
351,Australian Fleet Lessors Association,Business association,0,1992,NSW,transportation and storage,business organization
32,Air Pollution Control Equipment Manufacturers Association,Business association,,1987,NSW,manufacturing,business organization
