uniqid,Name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1,ABN,ABN status,ABN lookup name,ABN lookup score
307,Australian Diabetes Council,Citizen group,,1937.0,NSW,,disabled and health advocacy,84001363766.0,Active,AUSTRALIAN DIABETES COUNCIL,100.0
308,Australian Diabetes Educators Association,Professional group,3.0,1981.0,ACT,human health and social work activities,occupational association,65008656522.0,Active,AUSTRALIAN DIABETES EDUCATORS' ASSOCIATION LIMITED,100.0
309,Australian Diabetes Society,Citizen group,1.0,1973.0,NSW,,disabled and health advocacy,13053787965.0,Active,AUSTRALIAN DIABETES SOCIETY LIMITED,100.0
310,Australian Diagnostic Imaging Association,Business association,2.0,1999.0,VIC,human health and social work activities,business organization,42467175894.0,Active,AUSTRALIAN DIAGNOSTIC IMAGING ASSOCIATION,100.0
311,Australian Die Casting Association,Business association,0.5,1982.0,VIC,manufacturing,business organization,27004622913.0,Cancelled,AUSTRALIAN DIE CASTING ASSOCIATION,100.0
312,Australian Directors Guild,Business association,2.0,1981.0,NSW,information and communication,business organization,14002294920.0,Active,AUSTRALIAN DIRECTORS GUILD LTD,100.0
313,Australian Dispensing Opticians Association,Professional group,,1954.0,VIC,human health and social work activities,occupational association,67094321758.0,Active,AUSTRALIAN DISPENSING OPTICIANS ASSOCIATION LIMITED,100.0
314,Australian Drilling Industry Association,Business association,5.0,1982.0,WA,mining and quarrying,business organization,24002772929.0,Active,AUSTRALIAN DRILLING INDUSTRY ASSOCIATION LIMITED,100.0
315,Australian Drilling Industry Training Committee Ltd,Professional group,3.0,1978.0,NSW,mining and quarrying,occupational association,94002516814.0,Cancelled,AUST DRILLING INDUSTRY TRAINING COMMITTEE LTD,100.0
316,Australian Drug Foundation,Citizen group,40.0,1959.0,VIC,,disabled and health advocacy,66057731192.0,Active,AUSTRALIAN DRUG FOUNDATION INC,100.0
317,Australian Earthquake Engineering Society,Professional group,0.5,1990.0,ACT,professional scientific and technical activities,occupational association,83410367830.0,Active,AUSTRALIAN EARTHQUAKE ENGINEERING SOCIETY,100.0
318,Australian Education Union,Trade union,17.0,1920.0,VIC,education,union,16006296647.0,Active,AUSTRALIAN EDUCATION UNION,100.0
319,Australian Endurance Riders Association Inc,Leisure group,0.0,,QLD,,recreational,14684748206.0,Active,AUSTRALIAN ENDURANCE RIDERS ASSOCIATION INCORPORATED,100.0
320,Australian Engravers and Signmakers Association Inc,Business association,0.0,1947.0,NSW,arts entertainmnent and recreation,business organization,77757108262.0,Active,THE AUSTRALIAN ENGRAVERS & SIGNMAKERS ASSOCIATION INCORPORATED,100.0
321,Australian Entertainment Agents Association Inc,Professional group,2.0,1981.0,VIC,arts entertainmnent and recreation,occupational association,36242773656.0,Active,AUSTRALIAN ENTERTAINMENT AGENTS ASSOCIATION,100.0
322,Australian Entomological Society Inc,Professional group,0.0,1967.0,NSW,professional scientific and technical activities,occupational association,77542131588.0,Cancelled,THE AUSTRALIAN ENTOMOLOGICAL SOCIETY INC,100.0
323,Australian Environmental Pest Managers Association Ltd,Professional group,,1988.0,NSW,administrative and support service activities,occupational association,92003476293.0,Active,AUSTRALIAN ENVIRONMENTAL PEST MANAGERS ASSOCIATION LTD,100.0
324,Australian Equipment Lessors Association,Business association,3.0,1986.0,NSW,financial and insurance activities,business organization,19054908520.0,Cancelled,AUSTRALIAN EQUIPMENT LESSORS ASSOCIATION,100.0
325,Australian Experimental Art Foundation,Leisure group,1.0,1974.0,SA,,arts and cultural,43854332663.0,Cancelled,AUSTRALIAN EXPERIMENTAL ART FOUNDATION INCORPORATED,100.0
327,Australian Facetors Guild Ltd,Professional group,0.0,,QLD,arts entertainmnent and recreation,occupational association,62819112280.0,Active,THE AUSTRALIAN FACETORS GUILD,100.0
328,Australian Family Association,Citizen group,0.0,1980.0,VIC,,public interest,53441526057.0,Active,AUSTRALIAN FAMILY ASSOCIATION,100.0
329,Australian Federal Police Association,Professional group,11.0,1979.0,ACT,public administration and defence compulsory social security,occupational association,95799543741.0,Active,AUSTRALIAN FEDERAL POLICE ASSOCIATION,100.0
330,Australian Federation Against Copyright Theft,Business association,,2004.0,NSW,information and communication,business organization,56106585924.0,Active,Australian Federation Against Copyright Theft,100.0
331,Australian Federation of AIDS Organisations,Citizen group,16.0,1985.0,NSW,,disabled and health advocacy,91708310631.0,Active,AUSTRALIAN FEDERATION OF AIDS ORGANISATIONS,100.0
332,Australian Federation of Air Pilots,Professional group,11.0,1959.0,VIC,transportation and storage,occupational association,63230452036.0,Active,AUSTRALIAN FEDERATION OF AIR PILOTS,100.0
333,Australian Federation of Civil Celebrants Inc,Professional group,0.0,1993.0,VIC,arts entertainmnent and recreation,occupational association,89192389329.0,Active,AUSTRALIAN FEDERATION OF CIVIL CELEBRANTS INC,100.0
334,Australian Federation of Employers and Industries,Business association,,1903.0,NSW,other service activities,business organization,68337541246.0,Active,AUSTRALIAN FEDERATION OF EMPLOYERS AND INDUSTRIES,100.0
335,Australian Federation of Friends of Museums,Leisure group,0.5,1976.0,NSW,,arts and cultural,76793360024.0,Active,AUSTRALIAN FEDERATION OF FRIENDS OF MUSEUMS,100.0
336,Australian Federation of Graduate Women Inc,Citizen group,0.0,1922.0,ACT,,gender,93656106863.0,Active,AUSTRALIAN FEDERATION OF GRADUATE WOMEN INC,100.0
337,Australian Federation of Islamic Councils,Citizen group,8.0,1964.0,NSW,,identity groups,37002757155.0,Active,THE AUSTRALIAN FEDERATION OF ISLAMIC COUNCILS INC,100.0
338,Australian Federation of Lapidary & Allied Crafts Associations Inc,Leisure group,0.0,1964.0,NSW,,arts and cultural,62087308772.0,Active,MISS AFL,85.0
339,Australian Federation of Medical Women,Professional group,0.0,1927.0,NSW,human health and social work activities,occupational association,55066552485.0,Active,AUSTRALIAN FEDERATION OF MEDICAL WOMEN INC.,100.0
340,Australian Federation of Modern Language Teachers Associations,Professional group,0.0,1965.0,ACT,education,occupational association,44080541023.0,Active,AUSTRALIAN FEDERATION OF MODERN LANGUAGE TEACHERS ASSOC,100.0
341,Australian Federation of Totally and Permanently Incapacitated Ex Servicemen and Women Ltd.,Professional group,0.5,1986.0,SA,public administration and defence compulsory social security,occupational association,61008591704.0,Active,AUST FEDERATION OF TOTALLY & PERMANENTLY INCAPACITATED EXSERVICEMEN & WOMEN LIMITED,100.0
342,Australian Federation of Travel Agents Ltd,Professional group,5.0,1957.0,NSW,administrative and support service activities,occupational association,72001444275.0,Active,THE AUSTRALIAN FEDERATION OF TRAVEL AGENTS LTD,100.0
343,Australian Federation of Ukrainian Organisations,Citizen group,0.0,1954.0,VIC,,identity groups,40104855692.0,Active,Australian Federation of Ukrainian Organisations,100.0
344,Australian Fencing Federation,Business association,3.5,1949.0,VIC,arts entertainmnent and recreation,business organization,90209501432.0,Active,AUSTRALIAN FENCING FEDERATION,100.0
345,Australian Film Institute,Business association,12.0,1958.0,VIC,information and communication,business organization,17006725266.0,Active,AUSTRALIAN FILM INSTITUTE,100.0
346,Australian Finance Conference,Business association,9.0,1958.0,NSW,financial and insurance activities,business organization,13000493907.0,Active,AUSTRALIAN FINANCE CONFERENCE,100.0
347,Australian Financial Markets Association,Business association,30.0,1972.0,NSW,financial and insurance activities,business organization,69793968987.0,Active,AUSTRALIAN FINANCIAL MARKETS ASSOCIATION,100.0
350,Australian Fitness Network,Business association,1.0,1987.0,NSW,arts entertainmnent and recreation,business organization,61003325424.0,Active,AUSTRALIAN FITNESS NETWORK PTY LTD,100.0
351,Australian Fleet Lessors Association,Business association,0.0,1992.0,NSW,transportation and storage,business organization,78059998533.0,Cancelled,AUSTRALIAN FLEET LESSORS ASSOCIATION,100.0
352,Australian Flute Society Inc,Leisure group,0.0,1980.0,SA,,arts and cultural,38446504428.0,Active,AUSTRALIAN FLUTE SOCIETY INC,100.0
353,Australian Fodder Industry Association Ltd,Business association,1.0,1996.0,VIC,agriculture forestry and fishing,business organization,78092717397.0,Cancelled,AUSTRALIAN FODDER INDUSTRY ASSOCIATION,100.0
354,Australian Food and Grocery Council,Business association,,1995.0,ACT,accommodation and food service activities,business organization,23068732883.0,Active,AUSTRALIAN FOOD & GROCERY COUNCIL,100.0
355,Australian Football League,Business association,300.0,1896.0,VIC,arts entertainmnent and recreation,business organization,97489912318.0,Active,AUSTRALIAN FOOTBALL LEAGUE,100.0
356,Australian Forest Growers,Business association,3.0,1969.0,ACT,agriculture forestry and fishing,business organization,39000694904.0,Active,AUSTRALIAN FOREST GROWERS,100.0
357,Australian Forest Products Association Ltd,Business association,10.0,1986.0,ACT,agriculture forestry and fishing,business organization,40008621510.0,Active,AUSTRALIAN FOREST PRODUCTS ASSOCIATION LIMITED,100.0
358,Australian Foundation for Disability,Service Group,,1951.0,NSW,,disabled and health advocacy,99000112729.0,Active,AUSTRALIAN FOUNDATION FOR DISABILITY,100.0
359,Australian Funeral Directors Association,Professional group,,1935.0,VIC,other service activities,occupational association,33007331580.0,Active,AUSTRALIAN FUNERAL DIRECTORS ASSOCIATION,100.0
360,Australian Furniture Association Inc,Business association,6.0,1940.0,VIC,manufacturing,business organization,85714855684.0,Active,AUSTRALIAN FURNITURE ASSOCIATION INC.,100.0
361,Australian Furniture Removers Association Inc,Professional group,5.0,1993.0,NSW,transportation and storage,occupational association,15358324712.0,Active,AUSTRALIAN FURNITURE REMOVERS ASSOCIATION INCORPORATED,100.0
362,Australian Galloway Association Inc,Business association,0.5,1998.0,TAS,agriculture forestry and fishing,business organization,57665606727.0,Active,AUSTRALIAN GALLOWAY ASSOCIATION INC.,100.0
363,Australian Garden History Society,Citizen group,1.0,1980.0,VIC,,recreational,97291212843.0,Active,AUSTRALIAN GARDEN HISTORY SOCIETY,100.0
364,Australian Garlic Industry Association,Business association,0.0,1986.0,NSW,agriculture forestry and fishing,business organization,49197545437.0,Active,Australian Garlic Industry Association Incorporated,100.0
365,Australian Gas Association,Business association,20.0,1962.0,VIC,electricity gas steam and air conditioning supply,business organization,98004206044.0,Active,THE AUSTRALIAN GAS ASSOCIATION,100.0
366,Australian Gelbvieh Association Inc,Business association,1.0,1989.0,NSW,agriculture forestry and fishing,business organization,52407059375.0,Active,THE AUSTRALIAN GELBVIEH ASSOCIATION INC,100.0
367,Australian Geography Teachers' Association,Professional group,0.0,1967.0,QLD,education,occupational association,63334942619.0,Active,AUSTRALIAN GEOGRAPHY TEACHERS ASSOCIATION INC,100.0
368,Australian Geomechanics Society,Professional group,0.5,1970.0,NSW,professional scientific and technical activities,occupational association,89615696393.0,Active,AUSTRALIAN GEOMECHANICS SOCIETY,100.0
369,Australian German Association Inc,Business association,0.0,1974.0,VIC,other service activities,business organization,84930935017.0,Active,AUSTRALIAN GERMAN ASSOCIATION,100.0
370,Australian Gift and Homewares Association,Business association,15.0,1987.0,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization,49061196290.0,Active,AUSTRALIAN GIFT & HOMEWARES ASSOCIATION LIMITED,100.0
371,Australian Glass & Glazing Association Inc,Business association,3.0,1992.0,VIC,manufacturing,business organization,97010912099.0,Cancelled,AUSTRALIA GLASS P/L,100.0
372,Australian Golf Course Superintendents Association,Professional group,6.0,1981.0,VIC,arts entertainmnent and recreation,occupational association,96053205888.0,Active,AUSTRALIAN GOLF COURSE SUPERINTENDENTS ASSOCIATION LIMITED,100.0
373,Australian Grain Exporters Association,Business association,1.0,1980.0,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization,80080034135.0,Cancelled,AUSTRALIAN GRAIN EXPORTERS ASSOCIATION,100.0
374,Australian Graphic Design Association,Business association,2.0,1988.0,SA,professional scientific and technical activities,business organization,13813089272.0,Active,AUSTRALIAN GRAPHIC DESIGN ASSOCIATION INC,100.0
375,Australian Greek Welfare Society,Hybrid group,17.5,1972.0,VIC,,social welfare and poor,95325445135.0,Cancelled,AUSTRALIAN GREEK WELFARE SOCIETY,100.0
378,Australian Greyhound Racing Association,Business association,0.0,,SA,arts entertainmnent and recreation,business organization,82857574976.0,Active,AUSTRALIAN GREYHOUND RACING ASSOCIATION,100.0
380,Australian Guild of Music Education Inc,Professional group,2.0,1985.0,VIC,education,occupational association,84413249965.0,Active,AUSTRALIAN GUILD OF MUSIC EDUCATION INCORPORATED,100.0
382,Australian Health Promotion Association,Professional group,1.0,1990.0,NSW,human health and social work activities,occupational association,44373080790.0,Active,AUSTRALIAN HEALTH PROMOTION ASSOCIATION,100.0
383,Australian Healthcare and Hospitals Association,Institutional group,4.0,1946.0,ACT,human health and social work activities,health,49008528470.0,Active,AUSTRALIAN HEALTHCARE AND HOSPITALS ASSOCIATION,100.0
384,Australian Hellenic Educational Progressive Association,Leisure group,,1934.0,VIC,,identity groups,73978611028.0,Active,AUSTRALIAN HELLENIC EDUCATIONAL PROGRESSIVE ASSOCIATION WA INCORPORAT,97.0
386,Australian Herpetological Society,Leisure group,0.0,1949.0,NSW,,public interest,87123007997.0,Active,THE AUSTRALIAN HERPETOLOGICAL SOCIETY INC.,100.0
387,Australian Hibiscus Society Inc,Leisure group,0.0,1967.0,QLD,,recreational,53917106725.0,Active,AUSTRALIAN HIBISCUS SOCIETY INC.,100.0
388,Australian Higher Education Industrial Association,Institutional group,8.0,1990.0,VIC,education,education,74401952624.0,Active,AUSTRALIAN HIGHER EDUCATION INDUSTRIAL ASSOCIATION,100.0
389,Australian Historic Motoring Council Inc,Citizen group,0.0,,ACT,,recreational,38392626187.0,Active,AUSTRALIA COUNCIL,94.0
390,Australian Historical Association,Professional group,1.0,1973.0,NSW,arts entertainmnent and recreation,occupational association,30059758282.0,Active,AUSTRALIAN HISTORICAL ASSOCIATION,100.0
391,Australian Home Entertainment Distributors Association,Business association,0.5,1986.0,NSW,information and communication,business organization,63003063867.0,Active,AUSTRALIAN HOME ENTERTAINMENT DISTRIBUTORS ASSOCIATION,100.0
392,Australian Honey Bee Industry Council,Business association,,1998.0,NSW,agriculture forestry and fishing,business organization,63939614424.0,Active,AUSTRALIAN HONEY BEE INDUSTRY COUNCIL,100.0
393,Australian Horse Industry Council,Business association,0.0,,VIC,agriculture forestry and fishing,business organization,18080921660.0,Active,AUSTRALIAN HORSE INDUSTRY COUNCIL,100.0
394,Australian Horticulture Exporters Association,Business association,2.0,1987.0,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization,61161940030.0,Cancelled,AUSTRALIAN EXPORTERS ASSOCIATION PTY. LTD.,97.0
395,Australian Hotels Association National Office,Business association,4.0,1839.0,ACT,accommodation and food service activities,business organization,16231925997.0,Active,AUSTRALIAN HOTELS ASSOCIATION,94.0
396,Australian Human Resources Institute,Professional group,33.0,1943.0,VIC,administrative and support service activities,occupational association,19091320428.0,Cancelled,AUSTRALIAN HUMAN RESOURCES INSTITUTE,100.0
397,Australian Humanists (Council of Australian Humanist Societies),Professional group,0.0,1965.0,VIC,arts entertainmnent and recreation,occupational association,38392626187.0,Active,AUSTRALIA COUNCIL,88.0
398,Australian Hypnotherapists' Association,Professional group,2.5,1949.0,NSW,human health and social work activities,occupational association,20004388872.0,Active,THE AUSTRALIAN HYPNOTHERAPISTS ASSOCIATION,100.0
399,Australian Independent Record Labels Association Ltd,Business association,,1996.0,VIC,information and communication,business organization,86089877476.0,Active,AUSTRALIAN INDEPENDENT RECORD LABELS ASSOCIATION LTD,100.0
400,Australian Indigenous Art Trade Association,Professional group,0.0,1998.0,QLD,arts entertainmnent and recreation,occupational association,40960942792.0,Active,AUSTRALIAN INDIGENOUS ART TRADE ASSOCIATION,100.0
401,Australian Indigenous Communications Association,Business association,7.0,2003.0,ACT,information and communication,business organization,65028617271.0,Cancelled,The Australian Indigenous Communicaitons Associated Incorporated,98.0
402,Australian Indigenous Doctors' Association,Professional group,,1998.0,QLD,human health and social work activities,occupational association,84131668936.0,Active,Australian Indigenous Doctors' Association Ltd,100.0
403,Australian Indigenous Leadership Centre,Service Group,1.0,1999.0,ACT,,education,68091455551.0,Active,AUSTRALIAN INDIGENOUS LEADERSHIP CENTRE,100.0
404,Australian Industrial Truck Association,Business association,1.0,1963.0,ACT,manufacturing,business organization,40862153469.0,Active,THE AUSTRALIAN INDUSTRIAL TRUCK ASSOCIATION,100.0
405,Australian Industry & Defence Network Inc,Business association,5.0,1995.0,VIC,public administration and defence compulsory social security,business organization,37142090051.0,Cancelled,AUS INDUSTRIES PTY LIMITED,100.0
406,Australian Industry Greenhouse Network,Business association,2.0,1995.0,ACT,electricity gas steam and air conditioning supply,business organization,93108941117.0,Active,AUSTRALIAN INDUSTRY GREENHOUSE NETWORK,100.0
407,Australian Industry Group,Business association,267.0,1873.0,NSW,other service activities,business organization,71614051348.0,Active,AUSTRALIA INDUSTRIAL GROUP PTY LTD,100.0
408,Australian Information Industry Association,Business association,6.0,1978.0,ACT,information and communication,business organization,19008568036.0,Active,AUSTRALIAN INFORMATION INDUSTRY ASSOCIATION LIMITED,100.0
409,Australian Institute for the Conservation of Cultural Material,Professional group,0.5,1973.0,ACT,arts entertainmnent and recreation,occupational association,60209816117.0,Active,AUSTRALIAN INSTITUTE FOR THE CONSERVATION OF CULTURAL MATERIAL INC,100.0
410,Australian Institute of Administrative Law Inc,Professional group,2.0,1989.0,ACT,professional scientific and technical activities,occupational association,57738245583.0,Cancelled,AUSTRALIAN INSTITUTE OF ADMINISTRATIVE LAW,100.0
411,Australian Institute of Agricultural Science and Technology,Business association,1.0,1935.0,ACT,agriculture forestry and fishing,business organization,70004227810.0,Active,AUSTRALIAN INSTITUTE OF AGRICULTURAL SCIENCE ANDTECHNOLOGY,100.0
413,Australian Institute of Architects,Professional group,65.0,1930.0,ACT,professional scientific and technical activities,occupational association,72000023012.0,Active,AUSTRALIAN INSTITUTE OF ARCHITECTS,100.0
414,Australian Institute of Building,Professional group,6.0,1951.0,ACT,construction,occupational association,38794377472.0,Active,AUSTRALIAN INSTITUTE OF BUILDING,100.0
415,Australian Institute of Building Surveyors,Professional group,8.0,1962.0,NSW,construction,occupational association,53004540836.0,Active,AUSTRALIAN INSTITUTE OF BUILDING SURVEYORS,100.0
416,Australian Institute of Company Directors,Professional group,123.0,1990.0,ACT,administrative and support service activities,occupational association,11008484197.0,Active,AUSTRALIAN INSTITUTE OF COMPANY DIRECTORS,100.0
417,Australian Institute of Conveyancers,Professional group,3.0,,SA,real estate activities,occupational association,87601209539.0,Active,AUSTRALIAN INSTITUTE OF CONVEYANCERS,100.0
418,Australian Institute of Credit Management,Professional group,3.0,1967.0,NSW,financial and insurance activities,occupational association,79008455758.0,Active,AUSTRALIAN INSTITUTE OF CREDIT MANAGEMENT,100.0
419,Australian Institute of Energy,Professional group,0.0,1978.0,VIC,electricity gas steam and air conditioning supply,occupational association,95001509173.0,Active,THE AUSTRALIAN INSTITUTE OF ENERGY,100.0
420,Australian Institute of Food Science and Technology Inc,Professional group,6.0,1967.0,NSW,accommodation and food service activities,occupational association,24874852254.0,Cancelled,THE AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY INCORPORATED,100.0
421,Australian Institute of Genealogical Studies Inc,Professional group,0.5,1973.0,VIC,arts entertainmnent and recreation,occupational association,97600455890.0,Active,AUSTRALIAN INSTITUTE OF GENEALOGICAL STUDIES INC,100.0
422,Australian Institute of Geoscientists,Professional group,0.0,1981.0,WA,professional scientific and technical activities,occupational association,22002266659.0,Active,AUSTRALIAN INSTITUTE OF GEOSCIENTISTS,100.0
423,Australian Institute of Horticulture,Professional group,0.0,,VIC,agriculture forestry and fishing,occupational association,59465108322.0,Active,AUSTRALIAN INSTITUTE OF HORTICULTURE INC,100.0
425,Australian Institute of Interpreters and Translators Inc,Professional group,1.0,1987.0,VIC,professional scientific and technical activities,occupational association,64855620166.0,Active,AUSTRALIAN INSTITUTE OF INTERPRETERS AND TRANSLATORS INC,100.0
426,Australian Institute of Judicial Administration Inc,Professional group,3.0,1976.0,VIC,professional scientific and technical activities,occupational association,13063150739.0,Active,THE AUSTRALIAN INSTITUTE OF JUDICIAL ADMINISTRATION INC,100.0
427,Australian Institute of Kinesiologists Ltd,Professional group,0.5,1998.0,NSW,human health and social work activities,occupational association,67084078946.0,Active,AUSTRALIAN INSTITUTE OF KINESIOLOGISTS LTD,100.0
428,Australian Institute of Landscape Architects,Professional group,3.0,1966.0,ACT,administrative and support service activities,occupational association,84008531851.0,Active,AUSTRALIAN INSTITUTE OF LANDSCAPE ARCHITECTS,100.0
429,Australian Institute of Landscape Designers and Managers,Professional group,0.5,,NSW,administrative and support service activities,occupational association,42065777273.0,Active,AUSTRALIAN INSTITUTE OF LANDSCAPE DESIGNERS & MANAGERS LIMITED,100.0
430,Australian Institute of Marine and Power Engineers,Professional group,11.0,1881.0,NSW,transportation and storage,occupational association,44398020831.0,Active,THE AUSTRALIAN INSTITUTE OF MARINE & POWER ENGINEERS,100.0
432,Australian Institute of Medical Scientists,Professional group,1.0,1937.0,QLD,human health and social work activities,occupational association,12945883573.0,Active,AUSTRALIAN INSTITUTE OF MEDICAL SCIENTISTS,100.0
434,Australian Institute of Occupational Hygienists,Professional group,,1980.0,VIC,human health and social work activities,occupational association,50423289752.0,Active,AUSTRALIAN INSTITUTE OF OCCUPATIONAL HYGIENISTS,100.0
435,Australian Institute of Office Professionals,Professional group,,1963.0,VIC,administrative and support service activities,occupational association,68004992527.0,Active,AUSTRALIAN INSTITUTE OF OFFICE PROFESSIONALS,100.0
436,Australian Institute of Packaging Inc,Professional group,1.0,1963.0,QLD,administrative and support service activities,occupational association,35092354071.0,Active,AUSTRALIAN INSTITUTE OF PACKAGING,100.0
437,Australian Institute of Petroleum Ltd,Business association,4.0,1976.0,ACT,manufacturing,business organization,11005152581.0,Active,AUSTRALIAN INSTITUTE OF PETROLEUM LTD,100.0
438,Australian Institute of Physics,Professional group,1.0,1963.0,VIC,professional scientific and technical activities,occupational association,81004566509.0,Active,AUSTRALIAN INSTITUTE OF PHYSICS,100.0
440,Australian Institute of Professional Intelligence Officers Inc,Professional group,0.0,1990.0,ACT,administrative and support service activities,occupational association,12122085195.0,Active,THE AUSTRALIAN INSTITUTE OF PRO INTELLIGENCE OFFICERS INC,100.0
441,Australian Institute of Professional Photography,Professional group,4.0,1963.0,VIC,professional scientific and technical activities,occupational association,77050167498.0,Active,AIPP,100.0
442,Australian Institute of Project Management,Professional group,11.0,1976.0,NSW,professional scientific and technical activities,occupational association,49001443303.0,Active,AUSTRALIAN INSTITUTE OF PROJECT MANAGEMENT,100.0
443,Australian Institute of Quantity Surveyors,Professional group,6.0,1971.0,NSW,construction,occupational association,97008485809.0,Active,THE AUST INSTITUTE OF QUANTITY SURVEYORS,100.0
444,Australian Institute of Radiography,Professional group,6.0,1950.0,VIC,human health and social work activities,occupational association,26924779836.0,Active,AUSTRALIAN INSTITUTE OF RADIOGRAPHY,100.0
445,"Australian Institute of Refrigeration, Air Conditioning and Heating Inc",Business association,20.0,1920.0,VIC,electricity gas steam and air conditioning supply,business organization,81004082928.0,Active,AUSTRALIAN INSTITUTE OF REFRIGERATION AIRCONDITIONING & HEATING INC,100.0
446,"Australian Institute of Superannuation Trustees', The",Professional group,33.0,2007.0,VIC,financial and insurance activities,occupational association,54563030652.0,Cancelled,AUSTRALIAN INSTITUTE OF SUPERANNUATION TRUSTEES INC,100.0
447,Australian Institute of Tourism Officers,Professional group,0.0,1980.0,VIC,administrative and support service activities,occupational association,97002288413.0,Active,AUSTRALIAN INSTITUTE OF TOURISM OFFICERS LIMITED,100.0
448,Australian Institute of Training & Development,Professional group,4.0,1971.0,NSW,education,occupational association,44166192534.0,Cancelled,AUSTRALIAN INSTITUTE FOR TRAINING PTY LTD,100.0
449,Australian Insurance Law Association,Professional group,,,VIC,financial and insurance activities,occupational association,81052374713.0,Active,AUSTRALIAN INSURANCE LAW ASSOCIATION LIMITED,100.0
450,Australian Interactive Media Industry Association,Business association,8.0,1992.0,NSW,information and communication,business organization,64039920255.0,Cancelled,AUSTRALIAN INTERACTIVE MEDIA INDUSTRY ASSN INC,100.0
451,Australian Investors Association Ltd,Professional group,2.0,1991.0,QLD,financial and insurance activities,occupational association,75052411999.0,Active,AUSTRALIAN INVESTORS ASSOCIATION LTD,100.0
452,Australian Islamic Cultural Centre,Service Group,0.0,1986.0,NSW,,identity groups,50981925239.0,Active,AUSTRALIAN ISLAMIC CULTURAL CENTRE INC,100.0
453,Australian Jewish Historical Society Inc,Leisure group,0.0,1938.0,NSW,,identity groups,53023617594.0,Active,AUSTRALIAN JEWISH HISTORICAL SOCIETY INCORPORATED,100.0
454,Australian Ju Jitsu Association Inc,Leisure group,0.0,1985.0,QLD,,recreational,83036436627.0,Active,AUSTRALIAN JUJITSU ASSOCIATION INC,100.0
455,Australian Karate Federation,Business association,1.0,1971.0,VIC,arts entertainmnent and recreation,business organization,29705212987.0,Active,AUSTRALIAN KARATE FEDERATION INC,100.0
456,Australian Karting Association Inc,Leisure group,3.0,1964.0,NSW,,recreational,99232687560.0,Active,AUSTRALIAN KARTING ASSOCIATION INC.,100.0
457,Australian Kinesiology Association,Professional group,0.5,,VIC,human health and social work activities,occupational association,31074034709.0,Active,AUSTRALIAN KINESIOLOGY ASSOCIATION INC,100.0
458,Australian Koala Foundation,Citizen group,6.0,1986.0,QLD,,public interest,90010922102.0,Active,AUSTRALIAN KOALA FOUNDATION,100.0
460,Australian Labour and Employment Relations Association,Professional group,0.0,1964.0,ACT,administrative and support service activities,occupational association,44806309981.0,Active,AUSTRALIAN LABOUR AND EMPLOYMENT RELATIONS ASSOCIATION INCORPORATED,100.0
461,Australian Lacrosse Association,Leisure group,0.5,,VIC,,recreational,31124440124.0,Active,Australian Lacrosse Association Limited,100.0
462,Australian Lavender Growers Association Inc,Business association,0.0,1994.0,VIC,agriculture forestry and fishing,business organization,47079000454.0,Active,THE AUSTRALIAN LAVENDER GROWERS' ASSOCIATION INC.,100.0
463,Australian Lawyers Alliance,Citizen group,9.0,1994.0,NSW,,public interest,96086880499.0,Active,AUSTRALIAN LAWYERS ALLIANCE,100.0
464,Australian Library and Information Association Ltd,Professional group,11.0,1937.0,ACT,arts entertainmnent and recreation,occupational association,40090953236.0,Active,AUSTRALIAN LIBRARY AND INFORMATION ASSOCIATION LTD,100.0
465,Australian Licensed Aircraft Engineers' Association,Professional group,8.0,1960.0,NSW,transportation and storage,occupational association,84234747620.0,Active,AUSTRALIAN LICENCED AIRCRAFT ENGINEERS ASSOCIATION,99.0
466,Australian Liquefied Petroleum Gas Association (t/a LPG Australia),Business association,5.0,1958.0,ACT,electricity gas steam and air conditioning supply,business organization,11002703951.0,Active,AUSTRALIAN LIQUEFIED PETROLEUM GAS ASSOCIATION LIMITED,100.0
467,Australian Liquor Stores Association Inc,Business association,3.0,,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization,96964612678.0,Cancelled,AUSTRALIAN LIQUOR STORES ASSOCIATION,100.0
468,Australian Literacy & Numeracy Foundation,Service Group,,1999.0,NSW,,social welfare and poor,63116050778.0,Cancelled,AUSTRALIAN INSTITUTE OF LITERACY PTY LTD,97.0
469,Australian Literacy Educators' Association,Professional group,3.0,1974.0,SA,education,occupational association,78034911062.0,Active,AUSTRALIAN LITERACY EDUCATORS ASSOCIATION,100.0
471,Australian Little Athletics,Leisure group,3.0,1964.0,VIC,,recreational,45761248109.0,Active,AUSTRALIAN LITTLE ATHLETICS,100.0
472,Australian Livestock and Property Agents Association,Business association,5.0,1910.0,NSW,agriculture forestry and fishing,business organization,33096142880.0,Active,AUSTRALIAN LIVESTOCK & PROPERTY AGENTS ASSOCIATION LIMITED,100.0
473,Australian Livestock and Rural Transporters' Association,Business association,3.0,1992.0,ACT,agriculture forestry and fishing,business organization,16034545414.0,Active,AUSTRALIAN LIVESTOCK & RURAL TRANSPORTERS ASSOCIATION INC,100.0
